contrast,omitted_operational_group,estimate_points,shift_points,scope
MEMBRANE_INTERFACE-TM_CORE,family:A0A0H3CQA2,0.5828452356236972,0.00010127684947347504,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0A0H3KP92,0.5863108280450134,0.0035668692707897104,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0A0H3LM39,0.5915339526020917,0.008789993827868024,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0A0H3PAV1,0.5824646281964027,-0.00027933057782109777,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0A0U3H1E6,0.5845553111748056,0.0018113524005819795,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0A100XE85,0.5859967411567671,0.0032527823825434163,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0A1I2I8Z9,0.5905774401433145,0.007833481369090827,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0A1U7U6F1,0.577537675721693,-0.00520628305253068,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0A2S6NEG7,0.586515019450679,0.003771060676455249,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0A2U9PNL2,0.5848333922848328,0.0020894335106090914,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0A380PV03,0.5816670557236627,-0.0010769030505610074,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0A3D4RH01,0.5914485272381367,0.008704568463912925,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0A3G8M5C3,0.5839859544213593,0.0012419956471355735,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0A421IFY4,0.5809802536853516,-0.0017637050888721223,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0A6J4B0E7,0.5861131004249975,0.0033691416507738645,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0A6P1C618,0.5967173497611513,0.01397339098692758,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0A6P3HVI0,0.5886513862866589,0.0059074275124352225,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0A7X9ZJZ3,0.5833660854812031,0.0006221267069794062,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0A8X8GS28,0.5814795716855098,-0.0012643870887138996,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0A979HMS2,0.574931053721369,-0.007812905052854719,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0ABF7PI33,0.5961799071393471,0.01343594836512342,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0L5S6,0.587978013272233,0.005234054498009285,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0LNN5,0.5904111949390952,0.007667236164871517,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0QP27,0.5853905741946144,0.002646615420390675,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0R049,0.5820748905012268,-0.0006690682729968214,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A0R612,0.5831200532148677,0.0003760944406440425,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A1L3X0,0.5875148289204932,0.004770870146269483,one operational group; not one dependence block
MEMBRANE_INTERFACE-TM_CORE,family:A1T557,0.584728703445601,0.001984744671377353,one operational group; not one dependence block
